评论ID,商品,评论文本,评分,点赞数,评论日期
R0001,耳机,质量超出预期，会再次购买。,4,460,2024-05-07
R0002,笔记本电脑,价格还算合理。,3,214,2024-05-24
R0003,笔记本电脑,跟描述差不多，可以接受。,3,65,2024-03-08
R0004,笔记本电脑,功能齐全，做工精细，好评！,4,279,2024-02-09
R0005,手表,质量超出预期，会再次购买。,5,123,2024-01-06
R0006,手表,性价比很高，满意的一次购物。,5,191,2024-05-11
R0007,家电,使用体验很棒，朋友都说好看。,4,329,2024-04-07
R0008,家电,使用体验很棒，朋友都说好看。,5,282,2024-04-07
R0009,智能手机,质量超出预期，会再次购买。,5,203,2024-04-10
R0010,智能手机,质量超出预期，会再次购买。,5,53,2024-05-14
R0011,耳机,质量超出预期，会再次购买。,5,89,2024-01-31
R0012,笔记本电脑,使用体验很棒，朋友都说好看。,4,401,2024-03-30
R0013,笔记本电脑,性价比很高，满意的一次购物。,4,193,2024-06-12
R0014,智能手机,还行吧，一般般。,3,268,2024-06-09
R0015,手表,包装精美，产品和描述一致，推荐！,5,17,2024-02-14
R0016,手表,功能齐全，做工精细，好评！,4,409,2024-06-05
R0017,耳机,功能齐全，做工精细，好评！,5,293,2024-05-20
R0018,智能手机,质量超出预期，会再次购买。,5,205,2024-01-02
R0019,家电,不值这个价格，不建议购买。,1,458,2024-02-22
R0020,笔记本电脑,性价比很高，满意的一次购物。,5,57,2024-01-19
R0021,手表,性价比很高，满意的一次购物。,5,302,2024-04-25
R0022,笔记本电脑,还行吧，一般般。,3,124,2024-01-04
R0023,手表,质量超出预期，会再次购买。,5,50,2024-01-01
R0024,耳机,质量超出预期，会再次购买。,4,313,2024-03-22
R0025,智能手机,价格还算合理。,3,480,2024-02-23
R0026,智能手机,功能齐全，做工精细，好评！,5,128,2024-05-05
R0027,笔记本电脑,价格还算合理。,3,153,2024-01-02
R0028,家电,非常好用，物流很快，客服态度也很好！,5,59,2024-01-18
R0029,智能手机,性价比很高，满意的一次购物。,4,458,2024-04-17
R0030,耳机,不值这个价格，不建议购买。,1,20,2024-03-08
R0031,耳机,质量不好，跟图片不一样，不推荐。,1,23,2024-01-10
R0032,手表,质量超出预期，会再次购买。,5,95,2024-02-22
R0033,智能手机,质量不好，跟图片不一样，不推荐。,1,112,2024-02-28
R0034,家电,非常好用，物流很快，客服态度也很好！,5,306,2024-02-05
R0035,耳机,功能齐全，做工精细，好评！,4,239,2024-06-17
R0036,笔记本电脑,非常好用，物流很快，客服态度也很好！,5,418,2024-03-16
R0037,笔记本电脑,产品正常，没有惊喜。,3,176,2024-02-26
R0038,笔记本电脑,价格还算合理。,3,25,2024-04-13
R0039,手表,功能齐全，做工精细，好评！,4,451,2024-03-18
R0040,手表,性价比很高，满意的一次购物。,5,67,2024-05-25
R0041,手表,包装精美，产品和描述一致，推荐！,5,117,2024-01-19
R0042,家电,功能齐全，做工精细，好评！,5,231,2024-05-28
R0043,家电,使用体验很棒，朋友都说好看。,4,253,2024-05-23
R0044,家电,价格还算合理。,3,234,2024-01-26
R0045,笔记本电脑,不值这个价格，不建议购买。,1,392,2024-06-06
R0046,耳机,质量超出预期，会再次购买。,5,300,2024-06-01
R0047,笔记本电脑,物流太慢了，客服也不回复。,1,26,2024-02-03
R0048,家电,物流太慢了，客服也不回复。,1,154,2024-01-16
R0049,手表,质量不好，跟图片不一样，不推荐。,1,477,2024-03-07
R0050,家电,非常好用，物流很快，客服态度也很好！,4,434,2024-05-16
R0051,笔记本电脑,产品正常，没有惊喜。,3,37,2024-03-03
R0052,笔记本电脑,质量超出预期，会再次购买。,5,69,2024-05-27
R0053,笔记本电脑,产品正常，没有惊喜。,3,310,2024-03-12
R0054,手表,非常好用，物流很快，客服态度也很好！,4,50,2024-03-12
